MSA ID (from MFRS),Daily Balances (AUC) Org Name,Daily Balances (AUC) Account Name,Daily Balances (AUC) Anchorage Entity,Daily Balances (AUC) Org ID,Daily Balances (AUC) Asset Type,Daily Balances (AUC) Account Internal ID,Daily Balances (AUC) Total Quantity,Daily Balances (AUC) Unit Price USD,Daily Balances (AUC) Total USD Value,Daily Balances (AUC) Total Quantity From Addresses,Unclaimed rewards balances (and other adj) in USD,Total AUC in USD (including unclaimed rewards),Graduated tier?
11111,strong knight 3,strong knight 3,TRUST_COMPANY,a5b32e924661d0bff02aafa400edf059d3130c22074167a043807d2d4b408e17,BTC,598dca08bc0f1ee8696e5f4a7ce65a50f107142b8df8d99f90f752eb2162220b,96.2325969,27762.54533,2671661.834,0,0.00,"2,671,661.83",#N/A
11111,strong knight 3,strong knight 3,TRUST_COMPANY,a5b32e924661d0bff02aafa400edf059d3130c22074167a043807d2d4b408e17,ETH,598dca08bc0f1ee8696e5f4a7ce65a50f107142b8df8d99f90f752eb2162220b,6268.935414,1818.691,1.14E+07,0,0.00,"11,401,256.42",#N/A
,cheerful mermaid 1,serious octopus 4,TRUST_COMPANY,aaea87d2f20b52400aca94ec11c948e80f0b9db9dad1baa6aa659a36e262ed2e,ROSE,bde0609ca73f36c3783e571d72f77762b474e98db31716e7394a430c6eea8627,29.9874,0.04898633333,1.468972772,0,0.00,1.47,#N/A
,faithful unicorn 2,cheerful computer 3,TRUST_COMPANY,d49745e34127d3e877fa65a50b5f4690da1a9f7d51bffa2fe881b337fb02a49b,STRK,b451a00a894be33a2cbe2fea2c0c334565690561ddabb144c4a2bc3406f63570,28921860,0.001590265,45993.42169,0,0.00,"45,993.42",#N/A
22222,funny phone 5,funny worm 3,TRUST_COMPANY,3a3499ff51454111686c26fc9faf0209c7ff58455b7ad87ddd21ae6909953d23,ATOM,7f24f990eb2e6d70cdb9c30a91ad8090ca403bd5ce4981e03ac6868dc681bc83,9.43809,9.258166667,87.37941024,0,0.00,87.38,#N/A
22222,funny phone 5,funny worm 3,TRUST_COMPANY,3a3499ff51454111686c26fc9faf0209c7ff58455b7ad87ddd21ae6909953d23,ETH,7f24f990eb2e6d70cdb9c30a91ad8090ca403bd5ce4981e03ac6868dc681bc83,1.945441302,1818.691,3538.156588,0,0.00,"3,538.16",#N/A
22222,funny phone 5,funny worm 3,TRUST_COMPANY,3a3499ff51454111686c26fc9faf0209c7ff58455b7ad87ddd21ae6909953d23,FLOW,7f24f990eb2e6d70cdb9c30a91ad8090ca403bd5ce4981e03ac6868dc681bc83,64.08273215,0.5577266667,35.73410799,0,0.00,35.73,#N/A
22222,funny phone 5,enchanted bag 3,TRUST_COMPANY,3a3499ff51454111686c26fc9faf0209c7ff58455b7ad87ddd21ae6909953d23,ETH,866c467657134d383c4073459a4613593363d8eb09bde12fd0afe9722cc9fd10,0.3128537742,1818.691,568.9843434,0,0.00,568.98,#N/A
22222,funny phone 5,friendly window 2,TRUST_COMPANY,3a3499ff51454111686c26fc9faf0209c7ff58455b7ad87ddd21ae6909953d23,ETH,f8815a1d18d4ea18f92b7e2302b8edaf6695cc70694d2666123ea8363595a3f6,0.05320494071,1818.691,96.76334682,0,0.00,96.76,#N/A
22222,funny phone 5,friendly window 2,TRUST_COMPANY,3a3499ff51454111686c26fc9faf0209c7ff58455b7ad87ddd21ae6909953d23,FLOW,f8815a1d18d4ea18f92b7e2302b8edaf6695cc70694d2666123ea8363595a3f6,4.82449484,0.5577266667,2.690335487,0,0.00,2.69,#N/A
